N,radius,distance,ratio,density,,id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time,,Difference,Increase
3,0.4641016151,1.732050808,2.154700538,0.6461709275,,Packomania Equal (3),3,2.154700538,2988,6.62E-24,0,0s:0ms,,0.0000000000,0.00%
4,0.4142135624,1.414213562,2.414213562,0.686291501,,Packomania Equal (4),4,2.732050808,17295,9.93E-24,0,0s:0ms,,0.3178372452,13.17%
5,0.3701919082,1.175570505,2.701301617,0.6852102443,,Packomania Equal (5),5,3,29812,1.65E-23,0,0s:0ms,,0.2986983833,11.06%
6,0.3333333333,1,3,0.6666666667,,Packomania Equal (6),6,3,44984,1.99E-23,0,0s:0ms,,0.0000000000,0.00%
7,0.3333333333,1,3,0.7777777778,,Packomania Equal (7),7,3,60177,1.99E-23,0,0s:0ms,,0.0000000000,0.00%
8,0.3025933883,0.8677674782,3.304764871,0.7325020694,,Packomania Equal (8),8,3.694301256,91451,2.32E-23,0,0s:0ms,,0.3895363853,11.79%
9,0.2767686539,0.7653668647,3.61312593,0.6894079901,,Packomania Equal (9),9,3.8,113770,2.98E-23,0,0s:0ms,,0.1868740702,5.17%
10,0.2622589242,0.7109782356,3.813025631,0.6877974332,,Packomania Equal (10),10,4,137111,3.64E-23,0,0s:0ms,,0.1869743686,4.90%
11,0.2548547017,0.6840402867,3.9238044,0.7144601089,,Packomania Equal (11),11,4.055050463,170408,3.64E-23,0,0s:0ms,,0.1312460631,3.34%
12,0.2481634706,0.660152735,4.02960193,0.7390212975,,Packomania Equal (12),12,4.055050463,195158,3.97E-23,0,0s:0ms,,0.0254485332,0.63%
13,0.2360679775,0.6180339887,4.236067977,0.72446517,,Packomania Equal (13),13,4.605551275,232440,4.30E-23,0,0s:0ms,,0.3694832980,8.72%
14,0.231030728,0.6008841611,4.328428555,0.7472527617,,Packomania Equal (14),14,4.605551275,258464,4.63E-23,0,0s:0ms,,0.2771227206,6.40%
15,0.2211725391,0.5679628677,4.521356965,0.7337593807,,Packomania Equal (15),15,4.815756806,301123,4.96E-23,0,0s:0ms,,0.2943998410,6.51%
16,0.2166647429,0.5531852191,4.615425595,0.7510977732,,Packomania Equal (16),16,4.815756806,316025,5.29E-23,0,0s:0ms,,0.2003312108,4.34%
17,0.2086796656,0.5274214664,4.792033748,0.740302448,,Packomania Equal (17),17,5,360871,6.95E-23,0,0s:0ms,,0.2079662517,4.34%
18,0.2056046468,0.5176380902,4.863703305,0.7609188738,,Packomania Equal (18),18,5,391255,6.95E-23,0,0s:0ms,,0.1362966948,2.80%
19,0.2056046468,0.5176380902,4.863703305,0.8031921446,,Packomania Equal (19),19,5,437114,7.28E-23,0,0s:0ms,,0.1362966948,2.80%
