instance,N,radius,ratio,density,,id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time,,Difference,Increase
NR10-1,10,0.5005752767,99.88507689,0.8128672711,,NR10-1 (10),10,105.2785764,878453,1.44E-20,0,0s:0ms,,5.3934994850,5.40%
NR11-1,11,0.4117940356,60.70996139,0.8185176442,,NR11-1 (11),11,64.21790153,1016867,3.81E-21,0,0s:1ms,,3.5079401370,5.78%
NR12-1,12,0.338334416,65.02442247,0.8064944291,,NR12-1 (12),12,69.5660027,951873,2.63E-20,0,0s:0ms,,4.5415802283,6.98%
NR14-1,14,0.3522405403,113.5587629,0.822063809,,NR14-1 (14),14,119.9892774,1118867,4.28E-20,0,0s:1ms,,6.4305144700,5.66%
NR15-1,15,0.3854912735,38.91138667,0.8338308732,,NR15-1 (15),15,40.83623531,1006356,3.39E-21,0,0s:1ms,,1.9248486471,4.95%
NR15-2,15,0.3862197264,38.83799551,0.8220686203,,NR15-2 (15),15,40.46917515,872905,5.82E-21,0,0s:0ms,,1.6311796458,4.20%
NR16-1,16,0.4393924968,143.3797811,0.846006502,,NR16-1 (16),16,153.1680967,800279,9.02E-20,0,0s:0ms,,9.7883156069,6.83%
NR16-2,16,0.2819155291,127.6978254,0.8178216131,,NR16-2 (16),16,138.852915,822240,3.90E-20,0,0s:0ms,,11.1550895980,8.74%
NR17-1,17,0.5082612113,49.18730653,0.8369874469,,NR17-1 (17),17,50.88962734,703326,6.78E-21,0,0s:0ms,,1.7023208042,3.46%
NR18-1,18,0.3604378831,196.982624,0.8410873238,,NR18-1 (18),18,207.315911,687930,2.51E-19,0,0s:0ms,,10.3332869685,5.25%
NR20-1,20,0.3356837746,125.1177542,0.8457657701,,NR20-1 (20),20,132.3922982,756911,9.78E-20,0,0s:0ms,,7.2745439975,5.81%
NR20-2,20,0.3612814161,121.7887166,0.8511719023,,NR20-2 (20),20,131.2593927,786259,5.89E-20,0,0s:0ms,,9.4706761087,7.78%
NR21-1,21,0.303855341,148.0967879,0.8451323819,,NR21-1 (21),21,156.9650187,895134,9.99E-20,0,0s:0ms,,8.8682307593,5.99%
NR23-1,23,0.2925275687,174.3425422,0.853058901,,NR23-1 (23),23,184.1686439,979043,3.41E-19,0,0s:0ms,,9.8261016920,5.64%
