packo id,N,ratio,,id,circlecount,Radius,time (ns),overlap (square units),nancount,Time,,Difference,Increase
Packomania 1,5,9.001397746,,Packomania 1 (5),5,9.001397746,129630,1.65E-24,0,0s:0ms,,0.0000000000,0.00%
Packomania 1,6,11.0570404,,Packomania 1 (6),6,11.0570404,96068,6.29E-23,0,0s:0ms,,0.0000000000,0.00%
Packomania 1,7,13.46211068,,Packomania 1 (7),7,13.63864452,129305,6.62E-23,0,0s:0ms,,0.1765338429,1.31%
Packomania 1,8,16.22174668,,Packomania 1 (8),8,16.9084418,141048,6.35E-22,0,0s:0ms,,0.6866951196,4.23%
Packomania 1,9,19.23319391,,Packomania 1 (9),9,19.96907573,176178,1.06E-22,0,0s:0ms,,0.7358818171,3.83%
Packomania 1,10,22.00019301,,Packomania 1 (10),10,23.2877147,203890,2.65E-22,0,0s:0ms,,1.2875216823,5.85%
Packomania 1,11,24.96063429,,Packomania 1 (11),11,26.65104175,242544,3.18E-22,0,0s:0ms,,1.6904074596,6.77%
Packomania 1,12,28.37138944,,Packomania 1 (12),12,30.27869776,282735,7.41E-22,0,0s:0ms,,1.9073083282,6.72%
Packomania 1,13,31.54586702,,Packomania 1 (13),13,32.93900634,312746,2.17E-21,0,0s:0ms,,1.3931393191,4.42%
Packomania 1,14,35.09564714,,Packomania 1 (14),14,36.65714933,355823,3.26E-21,0,0s:0ms,,1.5615021892,4.45%
Packomania 1,15,38.83799551,,Packomania 1 (15),15,40.46917515,503411,5.82E-21,0,0s:0ms,,1.6311796458,4.20%
Packomania 1,16,42.45811644,,Packomania 1 (16),16,44.97670011,445218,1.10E-20,0,0s:0ms,,2.5185836705,5.93%
Packomania 1,17,46.29134212,,Packomania 1 (17),17,49.17727631,491830,9.52E-21,0,0s:0ms,,2.8859341932,6.23%
Packomania 1,18,50.11976262,,Packomania 1 (18),18,53.26425023,526111,2.04E-20,0,0s:0ms,,3.1444876017,6.27%
Packomania 1,19,54.24029359,,Packomania 1 (19),19,58.0413688,557732,1.10E-20,0,0s:0ms,,3.8010752065,7.01%
Packomania 1,20,58.40056748,,Packomania 1 (20),20,61.63712441,2731441,2.08E-21,0,0s:2ms,,3.2365569305,5.54%
Packomania 1,21,62.55887709,,Packomania 1 (21),21,66.19614909,678411,1.05E-20,0,0s:0ms,,3.6372719987,5.81%
Packomania 1,22,66.76028624,,Packomania 1 (22),22,70.74575745,687508,3.08E-20,0,0s:0ms,,3.9854712097,5.97%
Packomania 1,23,71.19946161,,Packomania 1 (23),23,75.28800296,3039032,1.13E-20,0,0s:3ms,,4.0885413566,5.74%
Packomania 1,24,75.74914258,,Packomania 1 (24),24,79.82437643,1330982,1.16E-20,0,0s:1ms,,4.0752338484,5.38%
Packomania 1,25,80.28586444,,Packomania 1 (25),25,85.20507608,1299681,2.62E-20,0,0s:1ms,,4.9192116398,6.13%
Packomania 1,26,84.97819107,,Packomania 1 (26),26,89.93692251,977932,6.16E-20,0,0s:0ms,,4.9587314446,5.84%
Packomania 1,27,89.75096268,,Packomania 1 (27),27,94.88136225,966161,3.69E-20,0,0s:0ms,,5.1303995654,5.72%
Packomania 1,28,94.5258771,,Packomania 1 (28),28,99.86768794,1078129,4.11E-20,0,0s:1ms,,5.3418108395,5.65%
Packomania 1,29,99.48311156,,Packomania 1 (29),29,106.2962349,137519815,5.11E-20,0,0s:137ms,,6.8131233045,6.85%
Packomania 1,30,104.5403638,,Packomania 1 (30),30,111.0148098,1955712,7.11E-20,0,0s:1ms,,6.4744460321,6.19%
Packomania 1,31,109.6292407,,Packomania 1 (31),31,117.0878782,9892887,8.59E-20,0,0s:9ms,,7.4586375248,6.80%
Packomania 1,32,114.7998147,,Packomania 1 (32),32,123.1802853,1455990,4.66E-20,0,0s:1ms,,8.3804706408,7.30%
Packomania 1,33,120.0656596,,Packomania 1 (33),33,128.215259,11299460,1.02E-19,0,0s:11ms,,8.1495993452,6.79%
